,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
55,Jorge Ordovás,@joobid,2022-06-28T16:14:57.000Z,"Jorge Ordovás
@joobid
·
28 jun.","En respuesta a 
@didacjo1
 @_miki
 y 
@samuelgil
He de decir que luego pusieron cervezas, pero porque se estiraron los de 
@TheBridge_Tech
... para el próximo evento 
@HeavyMental_es
 lo del currasco tiene que estar sí o sí
GIF
ALT
2",,,,2,['https://pbs.twimg.com/tweet_video_thumb/FWWiyTqWYAA0iGK.jpg'],https://twitter.com/joobid/status/1541817440207884288
56,diegodl,@diegodl,2022-06-30T10:04:09.000Z,"diegodl
@diegodl
·
30 jun.","En respuesta a 
@NadaQueGanarPod
Estais invitados desde ya a hacer el primero de la próxima en 
@TheBridge_Tech
 y no se que lios os traeis con 
@_miki
 pero si quereis combo hay hueco
1",,,,1,[],https://twitter.com/diegodl/status/1542448899645968384
57,The Bridge,@TheBridge_Tech,2022-07-01T09:54:59.000Z,"The Bridge
@TheBridge_Tech
·
1 jul.","En respuesta a 
@bertinha84
¡Vamos 
@bertinha84
 ánimo! Te esperamos con los brazos abiertos
1",🤗,,,1,[],https://twitter.com/TheBridge_Tech/status/1542808979293847554
58,The Bridge,@TheBridge_Tech,2022-06-30T08:32:34.000Z,"The Bridge
@TheBridge_Tech
·
30 jun.","Respondiendo a 
@LORIOTio
 @dariodotzero
 y 2 más
Thank you! It was a pleasure and a very interesting talk about innovation and business
1",🤗,,,1,[],https://twitter.com/TheBridge_Tech/status/1542425851899281408
59,Miki ツ,@_miki,2022-06-29T19:16:35.000Z,"Miki ツ
@_miki
·
29 jun.","Respondiendo a 
@carlosmdh
 @HeavyMental_es
 y 5 más
GIF
ALT
3",,,,3,[],https://twitter.com/_miki/status/1542225533546762243
60,Heavy Mental,@HeavyMental_es,2022-06-28T07:50:34.000Z,"Heavy Mental
@HeavyMental_es
·
28 jun.","Respondiendo a 
@Mulder01198676
 @PauMugarra
 y 5 más
Sí a todo
1
1",,1,,1,[],https://twitter.com/HeavyMental_es/status/1541690507600056320
61,Jorge Ordovás,@joobid,2022-06-28T08:43:08.000Z,"Jorge Ordovás
@joobid
·
28 jun.","Respondiendo a 
@HeavyMental_es
 @DavidAlayon
 y 4 más
Recuenco pose
12",,,,12,['https://pbs.twimg.com/media/FWU7UVEWAAQaTd3?format=jpg&name=small'],https://twitter.com/joobid/status/1541703736749424641
62,Heavy Mental,@HeavyMental_es,2022-06-29T19:12:24.000Z,"Heavy Mental
@HeavyMental_es
·
29 jun.","Respondiendo a 
@carlosmdh
 @UbaldoHervas
 y 5 más
Yes!! ;) ;)
1
3",,1,,3,[],https://twitter.com/HeavyMental_es/status/1542224482710028291
63,Christian Senra,@Senra_Chriss,2022-06-28T07:13:03.000Z,"Christian Senra
@Senra_Chriss
·
28 jun.","Respondiendo a 
@Recuenco
 @PauMugarra
 y 5 más
GIF
ALT
4",,,,4,[],https://twitter.com/Senra_Chriss/status/1541681065802309632
64,ATREVIA,@Atrevia,2022-07-05T07:37:01.000Z,"ATREVIA
@Atrevia
·
5 jul."," Todo preparado en 
@TheBridge_Tech
 para la presentación de la nueva metodología de employer branding 5.0 de ATREVIA para ayudar a las empresas a captar #talento.
2
2",🔴,,2,2,"['https://pbs.twimg.com/media/FW4vXPHXoAAFtRP?format=jpg&name=small', 'https://pbs.twimg.com/media/FW4ugU7WQAEIkMO?format=jpg&name=small']",https://twitter.com/Atrevia/status/1544223809112350723
